Miasto;Liczba ośrodków
Augustów;1
Baboszewo;1
Bartoszyce;2
Bełchatów;2
Bełżyce;1
Będzin;2
Biała Podlaska;3
Białystok;7
Bielsk Podlaski;1
Bielsko - Biała;7
Bieruń;4
Biłgoraj;2
Biskupiec;1
Błonie;7
Bobrowiec;1
Bolesławiec;1
Borki;1
Braniewo;1
Brodnica;1
Brwinów;2
Brzesko;2
Bydgoszcz;9
Bytom;3
Celestynów;1
Chełm;2
Chełmiec;1
Chorzów;3
Choszczno;1
Chwalęcice;1
Cieszyn;2
Czarna Białostocka;1
Czechowice-Dziedzice;2
Częstochowa;5
Dąbrowa Górnicza;3
Darłowo;1
Dębica;1
Dęblin;1
Dobra;1
Dobrcz;1
Drezdenko;1
Działoszyn (Woj. Łódzkie);1
Elbląg;2
Ełk;6
Garwolin;2
Gdańsk;5
Gdynia;4
Giżycko;2
Gliwice;5
Głubczyce;1
Gniezno;1
Goleniów;5
Gorlice;2
Gorzów Wlkp.;5
Gostynin;1
Góra Kalwaria;1
Grabówka;1
Grodzisk Mazowiecki;6
Grójec;3
Grudziądz;4
Gryfice;1
Hrubieszów;1
Inowrocław;1
Izabelin;2
Jabłonna;2
Janki;1
Jarocin;1
Jarosław;1
Jasło;1
Jastarnia;1
Jastrębie Zdrój;2
Jaworze;1
Jaworzno;1
Jelenia Góra;4
Jeleśnia;1
Jeziorany;4
Józefosław;2
Józefów;2
Kalisz;1
Kamionki;1
Katowice;8
Kędzierzyn Koźle;1
Kępno (Woj. Łódzkie);1
Kielce;6
Kisielice;1
Kleszczów;1
Kłobuck;2
Kłodawa;2
Kłodzko;1
Kobierzyce;1
Kobyłka;4
Kocerawy;1
Kolno;1
Koło;1
Kołobrzeg;2
Komorów;1
Konin;8
Konstancin;2
Konstantynów Łódzki;2
Kościan;1
Kostyn nad Odry;1
Koszalin;3
Kozienice;1
Kórnik;1
Kraków;20
Kraśnik Fabryczny;1
Krynica Zdrój;1
Kruszwica;1
Książenice;1
Kunowice;1
Kwidzyn;1
Laszczki;1
Legionowo;3
Lębork;1
Leszno;5
Lubartów;1
Lubin;1
Lublin;12
Lubomierz;1
Łask;2
Łaziska Górne;1
Łobodno;2
Łomża;2
Łosice;1
Łowicz;1
Łódź;30
Łuków;4
Maków Podhalański;2
Mała Wieś;1
Malanów;1
Malbork;1
Marki;5
Michałowice;2
Miechów;2
Międzychód;2
Międzyrzec Podlaski;2
Mikołów;2
Milanówek;3
Minsk Mazowiecki;1
Mława;2
Modła;1
Morag;1
Mszana Dolna;1
Murowana Goślina;1
Mysłowice;1
Myślenice;2
Myszyniec;1
Nagawczyna;1
Nowa Ruda;1
Nowa Sól;1
Nowa Wola;1
Nowe Miasto Lub.;1
Nowielin;1
Nowy Dwór Gdańsk;1
Nowy Dwór Mazowiecki;1
Nowy Sącz;10
Nowogard;1
Olecko;2
Olkusz;1
Olsztyn;13
Opoczno;1
Opole;3
Opole Lubelskie;1
Ostrołęka;6
Ostróda;1
Ostrów Mazowiecki;2
Ostrzeszów Wlkp.;2
Otwock;4
Ożarów Mazowiecki;2
Pabianice;4
Parczew;1
Piaseczno;11
Piastów;2
Piekary Śląskie;1
Piła;1
Pilawa;1
Piotrków Trybunalski;2
Plewiska;1
Płochocin;1
Płock;6
Płońsk;6
Płoty;1
Podgórzyn;1
Police;2
Poznań;23
Pruszcz Gdański;1
Pruszków;1
Przecław;1
Przemyśl;1
Pszczyna;7
Puławy;1
Pułtusk;1
Puszczykowo;3
Pyrzyce;5
Racibórz;1
Radom;3
Radomsko;3
Radowo Wielkie;1
Radzyń Chełmiński;1
Radzyń Podlaski;4
Raszyn;2
Rawa Mazowiecka;1
Reda;2
Rotmanka;1
Rumia;2
Rybna;1
Rybnik;2
